费用科目,原系统编号,存疑原因,建议归类,备注
操作费,OP009004,概念较为宽泛可能包含多种操作,码头/港口/场站费用,需要明确具体的操作内容
代理费,OP009006,可能涉及多种代理服务,特殊科目,需要明确具体代理服务范围
代垫手续费,55123,可能涉及多种代垫服务,特殊科目,需要明确具体代垫项目范围
外理,OPN060,外理具体含义不够明确,特殊科目,需要明确外理的具体服务内容
当地费用,550012,范围较为宽泛,特殊科目,需要明确当地费用的具体构成
综合服务费,55846,服务内容不够明确,特殊科目,需要明确综合服务的具体内容
港口作业包干费,OPN076,与其他港口费用可能重复,特殊科目,需要明确包干费的具体范围
出口服务费,55258,服务内容不够具体,特殊科目,需要明确出口服务的具体内容
预提费,55277,财务处理方式不清楚,特殊科目,需要明确预提费的具体含义
调箱费,995,与提箱费是否重复,集装箱费用,需要确认与其他集装箱费用的区别
押箱费,OPN059,与超期箱使费可能重复,集装箱费用,需要确认具体适用场景
洗箱费,SEAN076,是否适用于出口业务,集装箱费用,出口场景下的适用性需确认
修箱费,WMSN083,是否适用于出口业务,集装箱费用,出口场景下的适用性需确认
箱检费,0382,与其他检验费用是否重复,集装箱费用,需要明确箱检的具体内容
战争附加费,,系统编号缺失,跨境运输费用,需要补充完整的系统编号
船东安全费,,系统编号缺失,跨境运输费用,需要补充完整的系统编号
亚丁湾附加费,,系统编号缺失,跨境运输费用,需要补充完整的系统编号
人工费,OP001012,是否应该包含在物流费用中,人工费用,需要确认计费方式和适用场景
