全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0001,燃油附加,,FSC,CNY,应税,专票/普票,跨境运输费用,,待确认,,,燃油附加相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 燃油附加, detailed concept to be researched and supplemented."
FC0002,紧急燃油附加费,,EBA,CNY,应税,专票/普票,跨境运输费用,,待确认,,,紧急燃油附加费相关的费用，具体概念待进一步研究补充。,应付,SEA01010,"Charges related to 紧急燃油附加费, detailed concept to be researched and supplemented."
FC0003,ONE燃油附加费,,OBS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,ONE燃油附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to ONE燃油附加费, detailed concept to be researched and supplemented."
FC0004,海运燃油附加,,MFR,CNY,应税,专票/普票,跨境运输费用,,待确认,,,海运燃油附加相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 海运燃油附加, detailed concept to be researched and supplemented."
FC0005,燃油价格调整附加,,FAF,CNY,应税,专票/普票,跨境运输费用,,待确认,,,燃油价格调整附加相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 燃油价格调整附加, detailed concept to be researched and supplemented."
FC0006,加油调节因素,,BAF,CNY,应税,专票/普票,特殊科目,,待确认,,,加油调节因素相关的费用，具体概念待进一步研究补充。,应付,"55729, SEA01001","Charges related to 加油调节因素, detailed concept to be researched and supplemented."
FC0007,燃油附加费,,TFSC,CNY,应税,专票/普票,跨境运输费用,,船公司,,,因燃油价格波动而收取的附加费用，通常由船公司根据燃油市场价格变化进行调整，以弥补燃油成本上涨带来的损失。在海运整柜出口中，这是最常见的附加费之一。,应付,SEAN0923,"Fuel surcharge imposed due to fuel price fluctuations, typically adjusted by shipping lines based on fuel market price changes to offset losses from rising fuel costs. This is one of the most common surcharges in container shipping."
FC0008,燃油浮动调整附加费,,GBF,CNY,应税,专票/普票,跨境运输费用,,待确认,,,燃油浮动调整附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 燃油浮动调整附加费, detailed concept to be researched and supplemented."
FC0009,联运燃油附加费,,IMS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,联运燃油附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 联运燃油附加费, detailed concept to be researched and supplemented."
FC0010,苏伊士运河附加费,,SCS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,苏伊士运河附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 苏伊士运河附加费, detailed concept to be researched and supplemented."
FC0011,巴拿马运河附加费,,PCTF,CNY,应税,专票/普票,跨境运输费用,,待确认,,,巴拿马运河附加费相关的费用，具体概念待进一步研究补充。,应付,55803,"Charges related to 巴拿马运河附加费, detailed concept to be researched and supplemented."
FC0012,洛杉矶转运火车通道费,,ACS,CNY,应税,专票/普票,特殊科目,,待确认,,,洛杉矶转运火车通道费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 洛杉矶转运火车通道费, detailed concept to be researched and supplemented."
FC0013,跨境运费,,FRT,CNY,应税,专票/普票,特殊科目,,待确认,,,跨境运费相关的费用，具体概念待进一步研究补充。,应付,55787,"Charges related to 跨境运费, detailed concept to be researched and supplemented."
FC0014,基础运价附加费,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,基础运价附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 基础运价附加费, detailed concept to be researched and supplemented."
FC0015,燃油附加（干线）,,FSC,CNY,应税,专票/普票,跨境运输费用,,待确认,,,燃油附加（干线）相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 燃油附加（干线）, detailed concept to be researched and supplemented."
FC0016,货币贬值附加费,,CAF,CNY,应税,专票/普票,跨境运输费用,,待确认,,,货币贬值附加费相关的费用，具体概念待进一步研究补充。,应付,SEA01011,"Charges related to 货币贬值附加费, detailed concept to be researched and supplemented."
FC0017,港口附加费,,PS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,港口附加费相关的费用，具体概念待进一步研究补充。,应付,0023,"Charges related to 港口附加费, detailed concept to be researched and supplemented."
FC0018,低硫附加费,,LSS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,低硫附加费相关的费用，具体概念待进一步研究补充。,应付,"55779   , 655229","Charges related to 低硫附加费, detailed concept to be researched and supplemented."
FC0019,环保附加费,Surabaya Channel Fee,SCF,CNY,应税,专票/普票,跨境运输费用,,待确认,,,环保附加费相关的费用，具体概念待进一步研究补充。,应付,55912,"Charges related to 环保附加费, detailed concept to be researched and supplemented."
FC0020,运河/通道附加费,,CSC,CNY,应税,专票/普票,跨境运输费用,,待确认,,,运河/通道附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 运河/通道附加费, detailed concept to be researched and supplemented."
FC0021,安全附加费,,SSC,CNY,应税,专票/普票,跨境运输费用,,待确认,,,安全附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 安全附加费, detailed concept to be researched and supplemented."
FC0022,危险品附加费,,DGS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,危险品附加费相关的费用，具体概念待进一步研究补充。,应付,55788,"Charges related to 危险品附加费, detailed concept to be researched and supplemented."
FC0023,超重费,,OWC,CNY,应税,专票/普票,货物附加费用,,待确认,,,超重费相关的费用，具体概念待进一步研究补充。,应付,"AIR01003, 655256","Charges related to 超重费, detailed concept to be researched and supplemented."
FC0024,超限费,,,CNY,应税,专票/普票,货物附加费用,,待确认,,,超限费相关的费用，具体概念待进一步研究补充。,应付,"55140   , 55140, 55249","Charges related to 超限费, detailed concept to be researched and supplemented."
FC0025,战争附加费,,WAR,CNY,应税,专票/普票,跨境运输费用,,待确认,,,战争附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 战争附加费, detailed concept to be researched and supplemented."
FC0026,船东安全费,,CSF,CNY,应税,专票/普票,特殊科目,,待确认,,,船东安全费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 船东安全费, detailed concept to be researched and supplemented."
FC0027,船舶附加费,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,船舶附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 船舶附加费, detailed concept to be researched and supplemented."
FC0028,其他费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,其他费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 其他费用, detailed concept to be researched and supplemented."
FC0029,改港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,改港费相关的费用，具体概念待进一步研究补充。,应付,655234,"Charges related to 改港费, detailed concept to be researched and supplemented."
FC0030,滞签费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,滞签费相关的费用，具体概念待进一步研究补充。,应付,55158,"Charges related to 滞签费, detailed concept to be researched and supplemented."
FC0031,滞纳金,,,CNY,应税,专票/普票,特殊科目,,待确认,,,滞纳金相关的费用，具体概念待进一步研究补充。,应付,55311,"Charges related to 滞纳金, detailed concept to be researched and supplemented."
FC0032,合票费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,合票费相关的费用，具体概念待进一步研究补充。,应付,2223,"Charges related to 合票费, detailed concept to be researched and supplemented."
FC0033,分票费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,分票费相关的费用，具体概念待进一步研究补充。,应付,"OPN057, OPN070, 55300","Charges related to 分票费, detailed concept to be researched and supplemented."
FC0034,订舱费,,,CNY,应税,专票/普票,特殊科目,订舱,待确认,,,订舱费相关的费用，具体概念待进一步研究补充。,应付,"SEAN090 , 55282","Charges related to 订舱费, detailed concept to be researched and supplemented."
FC0035,改配费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,改配费相关的费用，具体概念待进一步研究补充。,应付,"655236  , 55784","Charges related to 改配费, detailed concept to be researched and supplemented."
FC0036,条码费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,条码费相关的费用，具体概念待进一步研究补充。,应付,"55269   , 55269","Charges related to 条码费, detailed concept to be researched and supplemented."
FC0037,补贴,,,CNY,应税,专票/普票,特殊科目,,待确认,,,补贴相关的费用，具体概念待进一步研究补充。,应付,"55852   , 55181","Charges related to 补贴, detailed concept to be researched and supplemented."
FC0038,加载费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,加载费相关的费用，具体概念待进一步研究补充。,应付,655242,"Charges related to 加载费, detailed concept to be researched and supplemented."
FC0039,验货费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,验货费相关的费用，具体概念待进一步研究补充。,应付,OPN058,"Charges related to 验货费, detailed concept to be researched and supplemented."
FC0040,日元贬值附加费,,YAS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,日元贬值附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 日元贬值附加费, detailed concept to be researched and supplemented."
FC0041,成本附加费,,CRS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,成本附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 成本附加费, detailed concept to be researched and supplemented."
FC0042,亚丁湾附加费,,AGS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,亚丁湾附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 亚丁湾附加费, detailed concept to be researched and supplemented."
FC0043,押运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,押运费相关的费用，具体概念待进一步研究补充。,应付,55302,"Charges related to 押运费, detailed concept to be researched and supplemented."
FC0044,紧急成本附加费,,ECRS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,紧急成本附加费相关的费用，具体概念待进一步研究补充。,应付,SEA01013,"Charges related to 紧急成本附加费, detailed concept to be researched and supplemented."
