服务段,服务,服务编码,服务描述,主要费用科目,服务提供方,关键单据,服务说明
启运地服务,拖车,TK,货物从发货地运输到港口的陆路运输服务,"拖车费,多点提/送费,待时费,停车费,过路过桥费,油费,底盘费,预提费",运输公司,"运输合同,运输单据",包括提货、送货及相关的等待、停车等附加服务
启运地服务,报关,CD,出口货物向海关申报及相关手续办理,"报关费,转关费,报关单费,查验费,代垫手续费,滞报金,监管费",报关行,"报关委托书,报关单,查验通知",包括单证准备、申报、查验配合等全流程服务
启运地服务,仓储,WH,货物在仓库的存储及相关作业服务,"仓储费,出入库费,叉车费,托盘费,包装费,加固费",仓储公司,"仓储合同,出入库单",包括收货、存储、包装、加固、出库等仓储作业
启运地服务,驳船,BG,内河驳船运输服务,驳船费,驳船公司,驳船运输单,从内河港口到海港的驳船运输
启运地服务,国内铁路,RW,国内铁路运输服务,铁路运费,铁路公司,铁路运单,货物的国内铁路运输
启运地服务,保险,INS,货物运输保险服务,保险费,保险公司,保险单,为货物运输提供保险保障
启运地服务,内装,CL,集装箱装箱及相关作业服务,"装箱费,装卸费,理货费,铅封费,VGM费,危险品申报费,熏蒸费,检验费,过磅费,贴标费,危标费,材料费",装箱场站,"装箱单,VGM证书,铅封记录",包括货物装箱、铅封、称重、申报等全流程作业
干线服务,舱单,MF,向海关申报舱单信息服务,"舱单费,舱单录入费,AMS费,舱单更改费",船代公司,舱单文件,包括各国舱单系统的申报和维护
干线服务,HBL,HBL,货代提单制作和签发服务,"HBL费,单证费,制单费",货代公司,货代提单,货代公司签发的提单及相关服务
干线服务,MBL,MBL,船东提单制作和签发服务,"海运费,燃油附加费,单证费,电放费,改单费,订舱费,改配费,租箱费,综合服务费",船公司,船东提单,船公司签发的提单及海运运输服务
干线服务,订舱,BK,向船公司申请舱位及相关服务,"订舱费,改配费,指箱号费",船公司,订舱确认书,包括舱位申请、确认、变更等服务
目的港服务,换单,DO,目的港换取提货单服务,"换单费,超期箱使费,还箱费,落箱费,拆箱费",船代公司,提货单,在目的港用提单换取提货单的服务
目的港服务,清关,CL,目的港清关服务,"清关费,关税,增值税",报关行,清关单据,目的港进口清关手续办理
目的港服务,派送,DL,目的港货物派送服务,派送费,运输公司,派送单据,从目的港到收货人的货物派送
目的港服务,目的港仓储,DW,目的港仓储服务,目的港仓储费,仓储公司,仓储单据,目的港货物存储服务
增值服务,托盘,PT,托盘服务,托盘费,托盘供应商,托盘单据,提供托盘及相关服务
增值服务,加固,SC,货物加固服务,加固费,加固服务商,加固方案,对货物进行加固以确保运输安全
增值服务,贴唛,LB,货物贴标服务,贴标费,标签供应商,标签清单,在货物上粘贴唛头标识
增值服务,熏蒸,FM,货物熏蒸服务,熏蒸费,检疫部门,熏蒸证书,对木质包装进行熏蒸处理
增值服务,质量控制,QC,货物质量检查服务,"检验费,三检费,磁检费,安检费",检验机构,检验报告,对货物进行各类质量和安全检查
增值服务,设备保护,EP,设备保护服务,设备管理费,设备管理公司,设备清单,集装箱等设备的保护和管理
码头港口服务,码头操作,THC,码头装卸及操作服务,"码头操作费,港杂费,吊机费,搬倒费,疏港费",码头公司,码头作业单,包括装船、卸船、堆场作业等
码头港口服务,堆场服务,CY,集装箱堆场服务,"提箱费,还箱费,场站费,堆存费,放箱费,进港费",场站公司,设备交接单,提供集装箱存放和交接服务
信息服务,信息传输,IT,各类信息传输申报服务,"信息费,条码费,运抵费,运抵更改费",信息服务商,传输记录,EDI信息传输和各类系统申报
综合服务,操作服务,OP,综合操作服务,"操作费,代理费,出口服务费,综合服务费,银行手续费,人工费,加急费",货代公司,服务协议,提供综合性的物流操作服务
