编号,费用分类,说明
1,跨境运输费用,跨境运输相关的费用，一般由船公司、航空公司等承运方直接收取，包含跨境运费，跨境运输工具的燃油附加费，货币贬值附加费，成本附加费如旺季附加、紧急成本附加，港口附加费如上海码头费、港口拥挤附加费，安全附加费如战争附加费、亚丁湾附加分，船舶附加费如低硫附加费、环保附加费，运河通道附加费如苏伊士运河附加费、巴拿马运河附加费，以及改港、滞签、改配、订舱等费用。
2,集装箱费用,"集装箱使用过程中的费用，一般由箱东收取，包括2个部分：
1.集装箱租赁、购买、使用、出售相关的费用
2.集装箱维护费用，如洗箱费，修箱费，改装费，箱检费等。"
3,码头/港口/场站费用,"码头、港口、场站的费用，主要由码头、港口、场站收取，包括2个部分：
1.港口、码头、场站作业产生的费用，如港杂费，倒箱费，吊装费，危险品监护费，码头操作费，安检费，码头杂费，码头堆存费等
2.使用港口、码头、场站设施产生的费用，如制冷费，吊机费，基础设施费。"
4,装卸费用,包括装货、卸货及准备动作产生的费用，如理货费、装货费、卸货费、拆箱费。
5,境内运输费用,"包括境内运输产生的各类费用，主要由运输公司收取，包括4个部分：
1.运输费用，如送货费、提货费、路运费、短驳费等。
2.运输准备及执行过程中配载、跑空、等待等必要环节产生的费用，如防空费，还箱费，停车费，车货配载服务费，车辆管理费等。
3.运输过程中产生的相关成本，如油费，过路过桥费等。
4.自有车辆产生的费用，如车辆折旧费，车辆保险费，车辆维修保养费等。"
6,货物附加费用,因为货物本身的特性而产生的附加费用，如危险品附加费，超重费，超限费等。
7,保险费用,给货物购买保险产生的费用
8,关检费用,"关检及关税相关的费用，包括5个部分：
1.关检常规费用，如报关费，转关费，报检费，动检费，植物检疫费等。
2.保税相关的费用，包括核注清单相关费用，账册使用费以及进出区、卡口相关费用。
3.关键增值服务及异常处置费用，如查验费，退关费，关检罚款等。
4.关检相关保证金
5.各类税费，如关税，消费税，反倾销税等"
9,仓储费用,"仓储相关的费用，包括2个部分：
1.仓库运作的直接成本，如租金，公共事业费用，如水费、电费、网络费用，物业费，保洁费。
2.仓库服务相关费用，如库前服务费，出入库费，入库登记费，仓储费等。"
10,单证文件费用,"单证文件制作、使用、传输、申报等一系列动作相关的费用，包括3个部分：
1.单证文件制作及使用费，单证包括海运单，船证，进出口许可，装箱单，3C认证，产地证，舱单等。
2.文件传输及申报费用，如运抵更改费、VGM更改费、舱单更改费以及AMS、VGM、日本舱单、欧洲仓单等一系列信息的申报或传输费用。
3.各类单证文件删单、改单费用。"
11,设备使用及租赁费用,设备使用及租赁产生的费用，如叉车、板架、机动车、吊车的租赁、使用费用以及电子密钥、GPS、PAD的足劲、使用费等。
12,增值服务费用,"包括物流准备服务、质量控制及贸易、会展、IT服务相关的费用，包括6个部分：
1.包装及附属于包装的设备的安装费用，如GPS安装费，加固费，托盘费，包装费，材料费等。
2.其他准备服务的费用，如熏蒸费，消毒费，过磅费，贴标费等。
3.质量控制环节产生的费用，如拍照费，包装检查费，监理费，现场服务费等。
4.贸易代理服务产生的费用
5.会展服务产生的费用，如场馆管理费，ISF保证金，进馆费，施工费，展品附加费等
6.IT服务产生的IT服务费。
"
13,人工费用,包括人工费和加班费等直接为人工支付的费用
14,利润分配,包括各类利润分成、利润返还及佣金
15,特殊科目,其他无法归入上述类别的费用科目
