费用名称（中）,费用名称（英文）,缩写,费用发生的服务段,适用的服务(委托类型）,最终由谁收取（供应商),对应的结算费用编码,对应的CW1费用编码,描述（中文）,描述（英文）,是否异常费用,计费单位,对应的财务科目,特殊适用范围说明,父记录
燃油附加,,FSC,,,船公司,,FSC,,,,,,,燃油附加（干线）
紧急燃油附加费,,EBA,,,船公司,SEA01010,EFAF,,,,,,,燃油附加（干线）
ONE燃油附加费,,OBS,,,船公司,,,,,,,,,燃油附加（干线）
燃油附加,,BRC,,,船公司,,,,,,,,,燃油附加（干线）
海运燃油附加,,MFR,,,船公司,,,,,,,,,燃油附加（干线）
燃油价格调整附加,,FAF,,,船公司,,,,,,,,,燃油附加（干线）
紧急燃油附加费,,EBS,,,船公司,SEA01010,EFAF,,,,,,,燃油附加（干线）
加油调节因素,,BAF,,,船公司,"55729, SEA01001",,,,,,,,燃油附加（干线）
燃油附加费,,TFSC,,,船公司,SEAN0923,FSC,,,,,,,燃油附加（干线）
燃油浮动调整附加费,,GBF,,,船公司,,,,,,,,,燃油附加（干线）
联运燃油附加费,,IMS,,,船公司,,,,,,,,,燃油附加（干线）
苏伊士运河附加费,,SCS,,,,,,,,,,,,运河/通道附加费
,,STF,,,,,,,,,,,,苏伊士运河附加费
,,SUZ,,,,55806,,,,,,,,苏伊士运河附加费
巴拿马运河附加费,,PCTF,,,,55803,,,,,,,,运河/通道附加费
洛杉矶转运火车通道费,,ACS,,,,,,,,,,,,运河/通道附加费
,,ACC,,,,,,,,,,,,洛杉矶转运火车通道费
,,PAN,,,,,,,,,,,,巴拿马运河附加费
,,PCS,,,,,,,,,,,,巴拿马运河附加费
跨境运费,,FRT,跨境运输,,,55787,,,,,,,,跨境运输费用
基础运价附加费,,,,,,,,,,,,,,跨境运输费用
燃油附加（干线）,,FSC,跨境运输,"海运跨境运输, 空运跨境运输","船公司, 航空公司",,,因为燃油价格上涨导致的附加费,,,,,,基础运价附加费
货币贬值附加费,,CAF,,,,SEA01011,,,,,,,,基础运价附加费
港口附加费,,PS,,,,0023,,,,,,,,跨境运输费用
低硫附加费,,LSS,,,船公司,"55779   , 655229",,,,,,,,船舶附加费
环保附加费, Surabaya Channel Fee,SCF,,,船公司,55912,,,,,,,印尼泗水航线附加费,船舶附加费
运河/通道附加费,,CSC,跨境运输,海运跨境运输,,,,,,,,,,船舶附加费
安全附加费,,SSC,,,,,,,,,,,,跨境运输费用
危险品附加费,,DGS,,,"船公司, 航空公司",55788,,,,,,,,货物附加费用
